iter	Passed	Remaining
632	3638	2109
633	3643	2103
634	3648	2097
635	3654	2091
636	3659	2085
637	3665	2079
638	3669	2073
639	3674	2067
640	3680	2061
641	3685	2054
642	3690	2048
643	3695	2042
644	3700	2036
645	3705	2030
646	3711	2024
647	3716	2019
648	3721	2012
649	3727	2006
650	3732	2000
651	3736	1994
652	3742	1988
653	3747	1982
654	3751	1976
655	3756	1970
656	3761	1963
657	3766	1957
658	3772	1951
659	3776	1945
660	3781	1939
661	3786	1933
662	3791	1927
663	3796	1921
664	3802	1915
665	3807	1909
666	3812	1903
667	3818	1897
668	3823	1891
669	3829	1886
670	3835	1880
671	3840	1874
672	3845	1868
673	3850	1862
674	3855	1856
675	3861	1850
676	3866	1844
677	3871	1838
678	3876	1832
679	3881	1826
680	3887	1820
681	3892	1815
682	3897	1809
683	3903	1803
684	3908	1797
685	3914	1791
686	3919	1785
687	3924	1779
688	3930	1774
689	3935	1768
690	3940	1761
691	3945	1755
692	3950	1749
693	3954	1743
694	3959	1737
695	3964	1731
696	3969	1725
697	3974	1719
698	3979	1713
699	3984	1707
700	3989	1701
701	3994	1695
702	3999	1689
703	4004	1683
704	4010	1678
705	4015	1672
706	4021	1666
707	4027	1661
708	4032	1655
709	4037	1649
710	4043	1643
711	4049	1637
712	4053	1631
713	4058	1625
714	4064	1620
715	4069	1614
716	4074	1608
717	4079	1602
718	4084	1596
719	4089	1590
720	4094	1584
721	4099	1578
722	4105	1572
723	4110	1566
724	4114	1560
725	4120	1554
726	4125	1549
727	4130	1543
728	4136	1537
729	4141	1531
730	4146	1525
731	4151	1519
732	4156	1513
733	4160	1507
734	4165	1501
735	4171	1496
736	4175	1490
737	4180	1484
738	4186	1478
739	4191	1472
740	4195	1466
741	4201	1460
742	4206	1454
743	4211	1448
744	4216	1443
745	4222	1437
746	4229	1432
747	4234	1426
748	4240	1420
749	4245	1415
750	4251	1409
751	4257	1404
752	4263	1398
753	4268	1392
754	4275	1387
755	4280	1381
756	4286	1375
757	4291	1370
758	4297	1364
759	4302	1358
760	4307	1352
761	4312	1347
762	4317	1341
763	4322	1335
764	4328	1329
765	4333	1323
766	4338	1318
767	4344	1312
768	4348	1306
769	4353	1300
770	4359	1294
771	4364	1288
772	4369	1283
773	4374	1277
774	4379	1271
775	4384	1265
776	4389	1259
777	4394	1254
778	4399	1248
779	4404	1242
780	4409	1236
781	4414	1230
782	4419	1224
783	4424	1218
784	4428	1213
785	4434	1207
786	4439	1201
787	4445	1195
788	4451	1190
789	4457	1184
790	4462	1178
791	4466	1173
792	4472	1167
793	4477	1161
794	4482	1155
795	4488	1150
796	4493	1144
797	4497	1138
798	4503	1132
799	4507	1126
800	4512	1121
801	4517	1115
802	4522	1109
803	4527	1103
804	4532	1098
805	4538	1092
806	4544	1086
807	4549	1081
808	4554	1075
809	4559	1069
810	4564	1063
811	4569	1057
812	4574	1052
813	4579	1046
814	4585	1040
815	4590	1035
816	4594	1029
817	4600	1023
818	4605	1017
819	4610	1012
820	4616	1006
821	4620	1000
822	4625	994
823	4630	989
824	4636	983
825	4641	977
826	4648	972
827	4654	966
828	4660	961
829	4665	955
830	4670	949
831	4675	944
832	4680	938
833	4685	932
834	4690	926
835	4695	921
836	4700	915
837	4705	909
838	4710	903
839	4715	898
840	4720	892
841	4727	887
842	4733	881
843	4740	876
844	4746	870
845	4752	865
846	4759	859
847	4765	854
848	4772	848
849	4778	843
850	4785	837
851	4792	832
852	4799	827
853	4806	821
854	4813	816
855	4820	810
856	4826	805
857	4834	800
858	4845	795
859	4856	790
860	4862	785
861	4870	779
862	4877	774
863	4885	768
864	4895	764
865	4905	759
866	4913	753
867	4920	748
868	4926	742
869	4935	737
870	4942	732
871	4948	726
872	4955	720
873	4961	715
874	4968	709
875	4974	704
876	4981	698
877	4987	693
878	4994	687
879	5003	682
880	5015	677
881	5022	671
882	5032	666
883	5046	662
884	5059	657
885	5066	651
886	5072	646
887	5079	640
888	5086	635
889	5093	629
890	5099	623
891	5107	618
892	5114	612
893	5121	607
894	5128	601
895	5135	596
896	5142	590
897	5149	584
898	5156	579
899	5162	573
900	5168	567
901	5174	562
902	5179	556
903	5186	550
904	5192	545
905	5198	539
906	5204	533
907	5209	527
908	5215	522
909	5222	516
910	5228	510
911	5234	505
912	5240	499
913	5248	493
914	5254	488
915	5261	482
916	5269	476
917	5275	471
918	5281	465
919	5287	459
920	5293	454
921	5300	448
922	5306	442
923	5311	436
924	5317	431
925	5323	425
926	5329	419
927	5335	413
928	5340	408
929	5346	402
930	5352	396
931	5359	391
932	5365	385
933	5370	379
934	5376	373
935	5382	368
936	5388	362
937	5394	356
938	5399	350
939	5405	345
940	5411	339
941	5416	333
942	5421	327
943	5428	322
944	5433	316
945	5440	310
946	5446	304
947	5452	299
948	5458	293
949	5465	287
950	5473	282
951	5479	276
952	5485	270
953	5491	264
954	5498	259
955	5504	253
956	5509	247
957	5515	241
958	5521	236
959	5527	230
960	5533	224
961	5539	218
962	5544	213
963	5550	207
964	5556	201
965	5562	195
966	5569	190
967	5575	184
968	5580	178
969	5586	172
970	5592	167
971	5598	161
972	5604	155
973	5609	149
974	5615	143
975	5621	138
976	5627	132
977	5633	126
978	5639	120
979	5646	115
980	5652	109
981	5659	103
982	5665	97
983	5672	92
984	5679	86
985	5685	80
986	5690	74
987	5697	69
988	5703	63
989	5709	57
990	5715	51
991	5720	46
992	5726	40
993	5732	34
994	5738	28
995	5743	23
996	5748	17
997	5754	11
998	5760	5
999	5766	0
